Order ID,Order Date,Ship Date,Ship Mode,Segment,Market,Category,Sales,Order Priority
CA-2013-CM12715140-41334,1/03/2020,4/03/2020,First Class,Corporate,USCA,Office Supplies,55.328,High
CA-2013-CM12715140-41334,1/03/2020,4/03/2020,First Class,Corporate,USCA,Furniture,1227.9984,High
CA-2013-TP21565140-41334,1/03/2020,2/03/2020,First Class,Corporate,USCA,Technology,95.84,Critical
CA-2013-RP19390140-41334,1/03/2020,5/03/2020,Standard Class,Consumer,USCA,Office Supplies,3.552,Medium
MX-2013-NZ1856528-41334,1/03/2020,4/03/2020,Second Class,Home Office,LATAM,Office Supplies,63.48,Medium
MX-2013-NZ1856528-41334,1/03/2020,4/03/2020,Second Class,Home Office,LATAM,Office Supplies,39.68,Medium
MX-2013-NZ1856528-41334,1/03/2020,4/03/2020,Second Class,Home Office,LATAM,Technology,82.77412,Medium
MX-2013-NZ1856528-41334,1/03/2020,4/03/2020,Second Class,Home Office,LATAM,Furniture,506.6,Medium
ES-2013-JW1595548-41334,1/03/2020,5/03/2020,Standard Class,Consumer,Europe,Technology,596.82,Medium
ES-2013-JC15340139-41334,1/03/2020,5/03/2020,Standard Class,Consumer,Europe,Office Supplies,50.94,Medium
ES-2013-JC15340139-41334,1/03/2020,5/03/2020,Standard Class,Consumer,Europe,Technology,733.44,Medium
ES-2013-JW1595548-41334,1/03/2020,5/03/2020,Standard Class,Consumer,Europe,Office Supplies,189.63,Medium
ES-2013-JC15340139-41334,1/03/2020,5/03/2020,Standard Class,Consumer,Europe,Office Supplies,45.99,Medium
CA-2013-PA19060140-41335,2/03/2020,7/03/2020,Standard Class,Home Office,USCA,Office Supplies,10.16,High
CA-2013-PA19060140-41335,2/03/2020,7/03/2020,Standard Class,Home Office,USCA,Office Supplies,101.88,High
MX-2013-RA1928518-41335,2/03/2020,7/03/2020,Standard Class,Consumer,LATAM,Office Supplies,21.54,Medium
ES-2013-YC2189545-41335,2/03/2020,7/03/2020,Second Class,Corporate,Europe,Office Supplies,26.67,Medium
ES-2013-BT11680139-41335,2/03/2020,7/03/2020,Standard Class,Consumer,Europe,Office Supplies,10.74,Medium
ES-2013-BT11680139-41335,2/03/2020,7/03/2020,Standard Class,Consumer,Europe,Office Supplies,126.45,Medium
ES-2013-BT11680139-41335,2/03/2020,7/03/2020,Standard Class,Consumer,Europe,Office Supplies,97.92,Medium
ES-2013-YC2189545-41335,2/03/2020,7/03/2020,Second Class,Corporate,Europe,Office Supplies,151.5,Medium
ES-2013-YC2189545-41335,2/03/2020,7/03/2020,Second Class,Corporate,Europe,Furniture,131.301,Medium
ES-2013-YC2189545-41335,2/03/2020,7/03/2020,Second Class,Corporate,Europe,Furniture,259.146,Medium
ES-2013-BT11680139-41335,2/03/2020,7/03/2020,Standard Class,Consumer,Europe,Office Supplies,447.72,Medium
ES-2013-SF2096548-41335,2/03/2020,4/03/2020,Second Class,Corporate,Europe,Technology,303.66,Medium
ES-2013-BT11680139-41335,2/03/2020,7/03/2020,Standard Class,Consumer,Europe,Furniture,583.47,Medium
ES-2013-YC2189545-41335,2/03/2020,7/03/2020,Second Class,Corporate,Europe,Office Supplies,89.73,Medium
ES-2013-RA19285120-41335,2/03/2020,4/03/2020,First Class,Consumer,Europe,Technology,815.103,Medium
ES-2013-RA19285120-41335,2/03/2020,4/03/2020,First Class,Consumer,Europe,Technology,2104.74,Medium
ES-2013-YC2189545-41335,2/03/2020,7/03/2020,Second Class,Corporate,Europe,Furniture,1239.462,Medium
ID-2013-DS130307-41335,2/03/2020,8/03/2020,Standard Class,Home Office,Asia Pacific,Technology,1034.964,Medium
ID-2013-DS130307-41335,2/03/2020,8/03/2020,Standard Class,Home Office,Asia Pacific,Office Supplies,206.712,Medium
ID-2013-DS130307-41335,2/03/2020,8/03/2020,Standard Class,Home Office,Asia Pacific,Office Supplies,13.356,Medium
ID-2013-DS130307-41335,2/03/2020,8/03/2020,Standard Class,Home Office,Asia Pacific,Office Supplies,28.098,Medium
ID-2013-DS130307-41335,2/03/2020,8/03/2020,Standard Class,Home Office,Asia Pacific,Office Supplies,209.16,Medium
IN-2013-HP1481558-41335,2/03/2020,4/03/2020,Second Class,Home Office,Asia Pacific,Office Supplies,37.5,Medium
IN-2013-HP1481558-41335,2/03/2020,4/03/2020,Second Class,Home Office,Asia Pacific,Furniture,851.67,Medium
IN-2013-HP1481558-41335,2/03/2020,4/03/2020,Second Class,Home Office,Asia Pacific,Office Supplies,65.04,Medium
ZA-2013-MG8205146-41335,2/03/2020,7/03/2020,Standard Class,Corporate,Africa,Office Supplies,207.36,Medium
ZA-2013-MG8205146-41335,2/03/2020,7/03/2020,Standard Class,Corporate,Africa,Office Supplies,136.38,Medium
ES-2013-BW1111096-41336,3/03/2020,9/03/2020,Standard Class,Corporate,Europe,Office Supplies,115.74,Medium
ES-2013-BW1111096-41336,3/03/2020,9/03/2020,Standard Class,Corporate,Europe,Office Supplies,173.61,Medium
IN-2013-RW1954027-41336,3/03/2020,9/03/2020,Standard Class,Corporate,Asia Pacific,Furniture,251.55,Low
IN-2013-JO1514558-41336,3/03/2020,9/03/2020,Standard Class,Corporate,Asia Pacific,Office Supplies,84.15,Low
MX-2013-PO1885051-41338,5/03/2020,12/03/2020,Standard Class,Consumer,LATAM,Furniture,607.36,Medium
MX-2013-CB1253593-41338,5/03/2020,10/03/2020,Standard Class,Corporate,LATAM,Office Supplies,78.64,High
CA-2013-SF20200140-41338,5/03/2020,9/03/2020,Standard Class,Consumer,USCA,Technology,23.92,Medium
CA-2013-SF20200140-41338,5/03/2020,9/03/2020,Standard Class,Consumer,USCA,Office Supplies,60.69,Medium
CA-2013-MV18190140-41338,5/03/2020,9/03/2020,Standard Class,Consumer,USCA,Technology,31.92,Medium
