Order ID,Order Date,Ship Date,Ship Mode,Segment,Market,Category,Sales,Order Priority
CA-2014-BS11755140-41974,1/12/2021,7/12/2021,Standard Class,Consumer,USCA,Office Supplies,$13.76,Medium
CA-2014-BS11755140-41974,1/12/2021,7/12/2021,Standard Class,Consumer,USCA,Office Supplies,$33.36,Medium
CA-2014-BS11755140-41974,1/12/2021,7/12/2021,Standard Class,Consumer,USCA,Furniture,$389.97,Medium
CA-2014-BS11755140-41974,1/12/2021,7/12/2021,Standard Class,Consumer,USCA,Office Supplies,$496.86,Medium
ES-2014-DK1283545-41974,1/12/2021,5/12/2021,Second Class,Corporate,Europe,Technology,$41.46,Medium
ES-2014-DK1283545-41974,1/12/2021,5/12/2021,Second Class,Corporate,Europe,Office Supplies,$336.72,Medium
US-2014-DB13210140-41974,1/12/2021,1/12/2021,Same Day,Consumer,USCA,Technology,$36.19,Critical
EG-2014-RS987038-41974,1/12/2021,3/12/2021,First Class,Home Office,Africa,Office Supplies,$16.56,High
US-2014-SC2038082-41975,2/12/2021,9/12/2021,Standard Class,Consumer,LATAM,Furniture,$7.04,Medium
US-2014-SC2038082-41975,2/12/2021,9/12/2021,Standard Class,Consumer,LATAM,Furniture,$36.14,Medium
MX-2014-NZ1856582-41975,2/12/2021,7/12/2021,Standard Class,Home Office,LATAM,Technology,$98.30,Medium
MX-2014-NZ1856582-41975,2/12/2021,7/12/2021,Standard Class,Home Office,LATAM,Office Supplies,$35.28,Medium
MX-2014-MC1760593-41975,2/12/2021,4/12/2021,Second Class,Corporate,LATAM,Furniture,$110.34,Medium
MX-2014-MC1760593-41975,2/12/2021,4/12/2021,Second Class,Corporate,LATAM,Office Supplies,$22.50,Medium
US-2014-DP1300098-41975,2/12/2021,4/12/2021,First Class,Consumer,LATAM,Office Supplies,$31.66,Medium
US-2014-DP1300098-41975,2/12/2021,4/12/2021,First Class,Consumer,LATAM,Office Supplies,$30.68,Medium
CA-2014-RD19480140-41975,2/12/2021,8/12/2021,Standard Class,Consumer,USCA,Furniture,$17.31,Low
CA-2014-JM15865140-41975,2/12/2021,4/12/2021,Second Class,Consumer,USCA,Office Supplies,$11.65,High
CA-2014-JM15865140-41975,2/12/2021,4/12/2021,Second Class,Consumer,USCA,Furniture,$85.25,High
CA-2014-JM15865140-41975,2/12/2021,4/12/2021,Second Class,Consumer,USCA,Furniture,$248.43,High
CA-2014-GZ14470140-41975,2/12/2021,5/12/2021,Second Class,Consumer,USCA,Office Supplies,$23.92,Critical
CA-2014-SJ20500140-41975,2/12/2021,6/12/2021,Second Class,Consumer,USCA,Furniture,$751.92,High
