Order ID,Order Date,Ship Date,Ship Mode,Segment,Market,Category,Sales,Order Priority
CA-2015-EG13900140-42095,1/04/2022,6/04/2022,Second Class,Consumer,USCA,Office Supplies,$13.47,Medium
CA-2015-DS13180140-42095,1/04/2022,5/04/2022,Standard Class,Corporate,USCA,Furniture,$205.33,High
CA-2015-SC20260140-42095,1/04/2022,3/04/2022,First Class,Corporate,USCA,Office Supplies,$33.62,Critical
CA-2015-DO13435140-42095,1/04/2022,6/04/2022,Standard Class,Consumer,USCA,Technology,$84.95,Medium
CA-2015-CM12115140-42095,1/04/2022,3/04/2022,Second Class,Consumer,USCA,Furniture,$29.78,High
CA-2015-CM12115140-42095,1/04/2022,3/04/2022,Second Class,Consumer,USCA,Office Supplies,$75.04,High
CA-2015-CM12115140-42095,1/04/2022,3/04/2022,Second Class,Consumer,USCA,Technology,$677.58,High
US-2015-MW182205-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Furniture,$67.78,Critical
US-2015-MW182205-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Office Supplies,$24.02,Critical
US-2015-MW182205-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Office Supplies,$2.32,Critical
US-2015-MW182205-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Office Supplies,$8.18,Critical
US-2015-MW182205-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Office Supplies,$63.50,Critical
US-2015-MW182205-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Office Supplies,$198.53,Critical
RS-2015-SJ10500108-42095,1/04/2022,5/04/2022,Standard Class,Consumer,Europe,Office Supplies,$42.96,High
US-2015-MW1822018-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Office Supplies,$3.09,High
US-2015-MW1822018-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Office Supplies,$5.46,High
US-2015-MW1822018-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Furniture,$45.18,High
US-2015-MW1822018-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Office Supplies,$84.67,High
US-2015-MW1822018-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Office Supplies,$132.35,High
US-2015-MW1822018-42095,1/04/2022,1/04/2022,Same Day,Consumer,LATAM,Office Supplies,$16.02,High
MX-2015-RA19915101-42095,1/04/2022,5/04/2022,Standard Class,Consumer,LATAM,Office Supplies,$12.89,Medium
MX-2015-RA19915101-42095,1/04/2022,5/04/2022,Standard Class,Consumer,LATAM,Office Supplies,$330.24,Medium
MD-2015-VB1174583-42095,1/04/2022,5/04/2022,Standard Class,Corporate,Europe,Office Supplies,$12.90,Medium
MD-2015-VB1174583-42095,1/04/2022,5/04/2022,Standard Class,Corporate,Europe,Office Supplies,$45.60,Medium
ES-2015-ME1772548-42095,1/04/2022,4/04/2022,First Class,Consumer,Europe,Technology,$166.28,Critical
MD-2015-VB1174583-42095,1/04/2022,5/04/2022,Standard Class,Corporate,Europe,Office Supplies,$5.34,Medium
CA-2015-JE15610140-42095,1/04/2022,3/04/2022,Second Class,Corporate,USCA,Technology,"$2,999.95",High
US-2015-DB12910140-42095,1/04/2022,3/04/2022,Second Class,Home Office,USCA,Furniture,$61.00,Critical
IN-2015-DM1334527-42095,1/04/2022,3/04/2022,First Class,Home Office,USCA,Office Supplies,$21.84,Critical
IN-2015-JF1541527-42095,1/04/2022,5/04/2022,Standard Class,Consumer,Asia Pacific,Technology,$519.48,Medium
CA-2015-JE15610140-42095,1/04/2022,3/04/2022,Second Class,Corporate,USCA,Office Supplies,$34.54,High
CA-2015-JE15610140-42095,1/04/2022,3/04/2022,Second Class,Corporate,USCA,Office Supplies,$64.12,High
IN-2015-RD199007-42095,1/04/2022,4/04/2022,First Class,Consumer,Asia Pacific,Office Supplies,$314.50,High
US-2015-DB12910140-42095,1/04/2022,3/04/2022,Second Class,Home Office,USCA,Technology,$671.93,Critical
IN-2015-LA16780102-42095,1/04/2022,7/04/2022,Standard Class,Home Office,USCA,Office Supplies,$33.79,Medium
IN-2015-JF1541527-42095,1/04/2022,5/04/2022,Standard Class,Consumer,Asia Pacific,Office Supplies,$62.82,Medium
IN-2015-RD199007-42095,1/04/2022,4/04/2022,First Class,Consumer,Asia Pacific,Furniture,$104.44,High
IN-2015-JF1541527-42095,1/04/2022,5/04/2022,Standard Class,Consumer,Asia Pacific,Furniture,"$2,614.69",Medium
ES-2015-ME1772548-42095,1/04/2022,4/04/2022,First Class,Consumer,Europe,Office Supplies,$40.38,Critical
ES-2015-CC1237048-42095,1/04/2022,6/04/2022,Standard Class,Consumer,Europe,Technology,"$2,135.28",Medium
NI-2015-LS723095-42095,1/04/2022,6/04/2022,Second Class,Consumer,Africa,Office Supplies,$5.93,Medium
MX-2015-DK1298565-42096,2/04/2022,9/04/2022,Standard Class,Consumer,LATAM,Office Supplies,$31.06,Low
MX-2015-DK1298565-42096,2/04/2022,9/04/2022,Standard Class,Consumer,LATAM,Office Supplies,$70.88,Low
US-2015-RD1993055-42096,2/04/2022,7/04/2022,Standard Class,Consumer,LATAM,Office Supplies,$35.04,High
US-2015-RD1993055-42096,2/04/2022,7/04/2022,Standard Class,Consumer,LATAM,Technology,$83.02,High
US-2015-FH1436598-42096,2/04/2022,7/04/2022,Standard Class,Corporate,LATAM,Office Supplies,$27.94,Medium
US-2015-FH1436598-42096,2/04/2022,7/04/2022,Standard Class,Corporate,LATAM,Office Supplies,$59.08,Medium
US-2015-FH1436598-42096,2/04/2022,7/04/2022,Standard Class,Corporate,LATAM,Office Supplies,$5.71,Medium
US-2015-FH1436598-42096,2/04/2022,7/04/2022,Standard Class,Corporate,LATAM,Office Supplies,$28.91,Medium
US-2015-FH1436598-42096,2/04/2022,7/04/2022,Standard Class,Corporate,LATAM,Office Supplies,$136.08,Medium
US-2015-FH1436598-42096,2/04/2022,7/04/2022,Standard Class,Corporate,LATAM,Furniture,$236.52,Medium
US-2015-FH1436598-42096,2/04/2022,7/04/2022,Standard Class,Corporate,LATAM,Technology,$253.70,Medium
US-2015-FH1436598-42096,2/04/2022,7/04/2022,Standard Class,Corporate,LATAM,Furniture,$367.20,Medium
US-2015-FH1436598-42096,2/04/2022,7/04/2022,Standard Class,Corporate,LATAM,Office Supplies,$40.02,Medium
CA-2015-AS10090140-42096,2/04/2022,5/04/2022,Second Class,Consumer,USCA,Office Supplies,$94.20,High
CA-2015-AS10090140-42096,2/04/2022,5/04/2022,Second Class,Consumer,USCA,Office Supplies,$28.40,High
